accendere,acceso,A che ora hai acceso la televisione?
apparire,apparso,Il mio gatto non è ancora apparso.
appendere,appeso,Ho appeso il quadro su questo muro.
aprire,aperto,Ho aperto le finestre per cambiare aria.
bere,bevuto,Alla festa abbiamo bevuto molte birre.
chiedere,chiesto,Franco ha chiesto una spiegazione.
chiudere,chiuso,Hai chiuso la porta a chiave?
concedere,concesso,Il tribunale ha concesso la grazia al condannato.
concludere,concluso,Il ministro ha finalmente concluso il discorso.
conoscere,conosciuto,Ho conosciuto Anna tre anni fa.
correggere,corretto,Il professore ha corretto i compiti.
correre,corso,Ho corso tutto il giorno / Sono corso per aiutare.
coprire,coperto,La neve ha coperto i tetti delle case e le strade.
crescere,cresciuto,Come sono cresciuti i bambini.
cuocere,cotto,Mario hai cotto troppo gli spaghetti!
decidere,deciso,Giorgio ha deciso di andare in fretta.
deludere,deluso,Il film che ho visto ieri mi ha deluso molto.
deprimere,depresso,Quello che mi hai raccontato mi ha depresso profondamente.
difendere,difeso,L'avvocato ha difeso molto bene il caso.
dipendere,dipeso,La ditta è dipesa dal governo.
dipingere,dipinto,Michelangelo ha dipinto la Cappella Sistina.
dire,detto,Non ho capito quello che ha detto il cameriere.
dirigere,diretto,Questo signore ha diretto una gran ditta / azienda.
discutere,discusso,I signori Bianchi hanno discusso tutta la sera.
distinguere,distinto,I bambini hanno distinto i colori senza problemi.
distruggere,distrutto,I ragazzi hanno distrutto il modellino.
dividere,diviso,Hai già diviso il lavoro?
escludere,escluso,Perché avete escluso a Claudia dalla riunione?
esistere,esistito,Dio è sempre esistito.
esplodere,esploso,Nel 1939 è esplosa una guerra.
esprimere,espresso,Ho espresso tutto quello che volevo.
essere,stato,Ieri è stata una giornata molto bella.
evadere,evaso,Giuseppe ha evaso le imposte. L’impiegato ha evaso le responsabilità. Il prigioniero è evaso dal carcere.
fare,fatto,Avete fatto i vostri compiti?
giungere,giunto,Non è ancora giunto il momento di partire. Mi è giunta all’orecchio la notizia che tuo fratello si sposa.
insistere,insistito,mio fratello ha insistito di andare a Parigi con me.
leggere,letto,Ho letto sul giornale che in Svizzera fa molto freddo.
mettere,messo,Dove hai messo le chiavi?
morire,morto,Federico Fellini è morto nel 1993.
muovere,mosso,Il vento ha mosso le pale del molino.
nascere,nato,Mio padre è nato in Italia mia madre è nata a Parigi.
nascondere,nascosto,Dove hai nascosto i giocattoli?
offendere,offeso,Mi hai offeso profondamente.
offrire,offerto,Per il suo compleanno Arturo ha offerto una festa.
perdere,perso,Franco è arrivato tardi e ha perso il treno.
piacere,piaciuto,A Luigi il concerto di ieri sera è piaciuto molto.
piangere,pianto,Ho pianto a lungo per il dolore.
prendere,preso,Stamattina non ho preso le medicine.
porre,posto,Ho posto l’anima in questo poema.
rendere,reso,Il cameriere ha reso a Marco 5€ di resto.
ridere,riso,Abbiamo riso molto con la barzelletta che hai raccontato.
rimanere,rimasto,Sono rimasto a casa fino alle sei del pommeriggio. (*)
risolvere,risolto,Hai risolto bene l'esame.
rispondere,risposto,Paolo non ha risposto alla mia mail.
rompere,rotto,Hai rotto un vetro / cristallo della finestra.
scegliere,scelto,Il libro che hai scelto è molto interessante.
scendere,sceso,Giulia è scesa a piedi dal sesto piano / Giulia ha sceso le scale.
scrivere,scritto,Luigi ha scritto una poesia d’amore alla sua fidanzata.
spegnere,spento,Quando ho finito di leggere ho spento la luce per dormire.
spendere,speso,Questa settimana ho speso molti soldi.
spingere,spinto,La corrente ha spinto la barca verso la spiaggia.
stringere,stretto,la sua fidanzata ha stretto Gianni tra le braccia.Abbiamo stretto un accordo con la nuova ditta.
succedere,successo,Cosa è successo ieri perché non sei venuto?   (*)
tradurre,tradotto,Hai già tradotto le parole della canzone?
trarre,tratto,tu soltanto hai tratto profitto di Giacomo.
trascorrere,trascorso,Abbiamo trascorso le vacanze in Toscana / Sono già trascorsi tre anni.
uccidere,ucciso,L'assassino ha ucciso la bella donna.
vedere,visto,Ieri io e Giulia abbiamo visto un bel film.
venire,venuto,Ieri Caterina non è venuta con noi a teatro.
vincere,vinto,Ho vinto tre tornei in un mese.
