word,example,type,level
lentamente,Ella camina lentamente.,Adverb,A1
con,Voy con mi amigo al cine.,Preposition,A1
beber,Voy a beber agua.,Verb,A1
libro,Estoy leyendo un libro interesante.,Noun,A1
en,El libro está en la mesa.,Preposition,A1
escuela,Voy a la escuela todos los días.,Noun,A1
bonito,Este lugar es muy bonito.,Adjective,A1
mal,Ese trabajo está mal hecho.,Adverb,A1
casa,La casa es grande.,Noun,A1
correr,Él quiere correr en la playa.,Verb,A1
ahora,Voy a casa ahora.,Adverb,A1
ayer,Ayer llovió mucho.,Adverb,A1
viajar,Quiero viajar a México.,Verb,A1
triste,Él está triste porque llueve.,Adjective,A1
nuevo,Tengo un teléfono nuevo.,Adjective,A1
perro,El perro corre en el parque.,Noun,A1
feliz,Estoy muy feliz hoy.,Adjective,A1
sobre,Hablamos sobre el viaje.,Preposition,A1
ciudad,Madrid es una ciudad hermosa.,Noun,A1
rápidamente,Él corre rápidamente.,Adverb,A1
entre,El gato está entre las sillas.,Preposition,A1
pequeño,Ese perro es muy pequeño.,Adjective,A1
grande,Mi casa es grande.,Adjective,A1
a,Voy a la escuela temprano.,Preposition,A1
coche,Tengo un coche rojo.,Noun,A1
hablar,Nos gusta hablar español.,Verb,A1
mañana,Mañana tengo un examen.,Adverb,A1
dormir,Me encanta dormir tarde.,Verb,A1
siempre,Siempre desayuno temprano.,Adverb,A1
lento,El tren es un poco lento.,Adjective,A1
leer,Voy a leer un libro.,Verb,A1
gato,El gato duerme mucho.,Noun,A1
escribir,Escribir cartas es divertido.,Verb,A1
familia,Tengo una familia pequeña.,Noun,A1
bajo,El perro duerme bajo la mesa.,Preposition,A1
de,La casa de mi abuela es grande.,Preposition,A1
trabajar,Mi padre trabaja en un hospital.,Verb,A1
fácil,El examen fue fácil.,Adjective,A1
mesa,La mesa es de madera.,Noun,A1
nunca,Nunca voy al cine.,Adverb,A1
para,Este regalo es para ti.,Preposition,A1
viejo,Ese edificio es muy viejo.,Adjective,A1
rápido,El coche es muy rápido.,Adjective,A1
vivir,Vivo en España.,Verb,A1
bien,Lo hiciste bien.,Adverb,A1
sin,No puedo vivir sin música.,Preposition,A1
por,Caminamos por el parque.,Preposition,A1
hoy,Hoy es un buen día.,Adverb,A1
comer,Me gusta comer manzanas.,Verb,A1
amigo,Mi amigo es muy simpático.,Noun,A1
